=== Testing data ===
0.00	0.32	true
0.00	0.02	true
0.00	0.00	true
0.00	0.41	true
0.00	0.03	true
0.00	0.04	true
0.00	0.04	true
0.00	0.00	true
0.00	0.04	true
0.00	0.02	true
0.00	0.04	true
0.00	0.04	true
1.00	0.99	true
0.00	0.00	true
0.00	0.01	true
0.00	0.03	true
0.00	0.02	true
0.00	0.00	true
1.00	0.57	true
0.00	0.03	true
0.00	0.02	true
1.00	0.97	true
0.00	0.00	true
0.00	0.00	true
0.00	0.03	true
0.00	0.24	true
0.00	0.00	true
1.00	0.79	true
0.00	0.01	true
1.00	0.26	false
0.00	0.04	true
0.00	0.00	true
0.00	0.04	true
0.00	0.76	false
0.00	0.00	true
0.00	0.07	true
0.00	0.01	true
0.00	0.04	true
0.00	0.37	true
0.00	0.18	true
0.00	0.02	true
0.00	0.05	true
0.00	0.02	true
0.00	0.08	true
0.00	0.00	true
1.00	0.07	false
0.00	0.02	true
0.00	0.00	true
0.00	0.02	true
0.00	0.03	true
0.00	0.03	true
0.00	0.07	true
1.00	0.99	true
0.00	0.00	true
0.00	0.00	true
0.00	0.00	true
0.00	0.04	true
0.00	0.00	true
0.00	0.00	true
0.00	0.02	true
0.00	0.16	true
0.00	0.02	true
0.00	0.02	true
0.00	0.02	true
0.00	0.00	true
0.00	0.00	true
1.00	0.99	true
0.00	0.02	true
1.00	0.66	true
0.00	0.00	true
1.00	0.58	true
0.00	0.09	true
0.00	0.02	true
0.00	0.01	true
0.00	0.00	true
0.00	0.00	true
1.00	0.82	true
0.00	0.07	true
0.00	0.01	true
0.00	0.02	true
0.00	0.00	true
0.00	0.52	false
0.00	0.02	true
0.00	0.00	true
0.00	0.02	true
1.00	0.99	true
0.00	0.00	true
1.00	0.79	true
0.00	0.00	true
0.00	0.02	true
1.00	0.82	true
0.00	0.03	true
0.00	0.04	true
0.00	0.00	true
1.00	0.53	true
1.00	0.99	true
0.00	0.01	true
0.00	0.04	true
0.00	0.10	true
0.00	0.17	true
1.00	0.05	false
1.00	0.38	false
0.00	0.01	true
0.00	0.00	true
0.00	0.00	true
1.00	1.00	true
1.00	1.00	true
0.00	0.03	true
0.00	0.02	true
1.00	0.97	true
1.00	0.85	true
0.00	0.00	true
0.00	0.00	true
0.00	0.01	true
0.00	0.03	true
0.00	0.00	true
0.00	0.00	true
0.00	0.01	true
0.00	0.01	true
0.00	0.05	true
0.00	0.01	true
0.00	0.56	false
0.00	0.17	true
1.00	0.00	false
1.00	1.00	true
0.00	0.00	true
0.00	0.04	true
0.00	0.01	true
0.00	0.00	true
0.00	0.04	true
0.00	0.04	true
0.00	0.00	true
0.00	0.00	true
0.00	0.01	true
1.00	0.11	false
0.00	0.15	true
0.00	0.03	true
0.00	0.04	true
0.00	0.01	true
0.00	0.03	true
0.00	0.03	true
0.00	0.01	true
0.00	0.00	true
0.00	0.01	true
0.00	0.00	true
0.00	0.00	true
0.00	0.01	true
0.00	0.04	true
0.00	0.00	true
1.00	1.00	true
0.00	0.04	true
0.00	0.02	true
1.00	0.35	false
0.00	0.04	true
0.00	0.00	true
1.00	0.69	true
1.00	0.26	false
0.00	0.01	true
0.00	0.02	true
0.00	0.00	true
0.00	0.01	true
0.00	0.01	true
0.00	0.00	true
0.00	0.78	false
0.00	0.05	true
0.00	0.20	true
1.00	0.62	true
0.00	0.00	true
0.00	0.01	true
0.00	0.02	true
0.00	0.00	true
0.00	0.03	true
0.00	0.01	true
0.00	0.07	true
0.00	0.05	true
0.00	0.03	true
1.00	0.93	true
0.00	0.44	true
1.00	0.07	false
0.00	0.09	true
0.00	0.01	true
0.00	0.02	true
1.00	0.02	false
1.00	0.68	true
1.00	0.01	false
1.00	0.03	false
1.00	0.27	false
1.00	0.38	false
0.00	0.01	true
0.00	0.00	true
1.00	0.02	false
0.00	0.04	true
0.00	0.22	true
0.00	0.04	true
0.00	0.03	true
0.00	0.00	true
0.00	0.03	true
0.00	0.00	true
0.00	0.00	true
1.00	0.71	true
0.00	0.01	true
0.00	0.00	true
1.00	0.96	true
1.00	1.00	true
0.00	0.05	true
0.00	0.01	true
0.00	0.04	true
0.00	0.02	true
0.00	0.09	true
0.00	0.01	true
1.00	1.00	true
0.00	0.01	true
0.00	0.03	true
1.00	0.80	true
0.00	0.00	true
1.00	0.99	true
0.00	0.04	true
1.00	0.28	false
0.00	0.00	true
1.00	0.59	true
0.00	0.00	true
0.00	0.02	true
0.00	0.12	true
0.00	0.03	true
0.00	0.02	true
0.00	0.00	true
0.00	0.00	true
0.00	0.02	true
0.00	0.04	true
0.00	0.00	true
0.00	0.02	true
0.00	0.05	true
0.00	0.00	true
0.00	0.00	true
0.00	0.00	true
1.00	1.00	true
0.00	0.04	true
0.00	0.02	true
1.00	0.32	false
0.00	0.00	true
0.00	0.02	true
0.00	0.03	true
0.00	0.00	true
0.00	0.04	true
0.00	0.00	true
0.00	0.04	true
0.00	0.00	true
0.00	0.00	true
0.00	0.00	true
1.00	0.02	false
0.00	0.00	true
0.00	0.00	true
0.00	0.00	true
0.00	0.26	true
0.00	0.00	true
0.00	0.00	true
0.00	0.06	true
0.00	0.44	true
0.00	0.36	true
0.00	0.04	true
0.00	0.00	true
0.00	0.03	true
1.00	0.90	true
0.00	0.02	true
1.00	0.05	false
0.00	0.02	true
0.00	0.00	true
1.00	0.73	true
1.00	0.97	true
0.00	0.04	true
0.00	0.05	true
0.00	0.01	true
0.00	0.01	true
0.00	0.00	true
0.00	0.02	true

      Star  Not
Star    35	4
Not     19	217
